,Na_i[mM],Ca_i_diast[uM],Ca_i_max[uM],Ca_i_ampl[uM]
baseline,12.2849,0.0747311,0.390663,0.315932
baseline_Km50,6.50216,0.0664547,0.20138,0.134925
baseline_Km60,7.68382,0.0691525,0.239302,0.170149
baseline_Km70,8.86244,0.0715017,0.282775,0.211273
baseline_Km80,10.0292,0.0732551,0.326323,0.253068
baseline_Km90,11.1723,0.0743096,0.363521,0.289211
baseline_Km110,13.3671,0.0746717,0.407673,0.333001
baseline_Km120,14.4227,0.0742859,0.416402,0.342116
baseline_Km130,15.4561,0.0736886,0.41907,0.345381
baseline_Km140,16.4695,0.0729608,0.417484,0.344523
baseline_Km150,17.4656,0.0721565,0.41301,0.340853
