,Na_i[mM],Ca_i_diast[uM],Ca_i_max[uM],Ca_i_ampl[uM]
baseline,8.86217,0.0870584,0.368875,0.281817
baseline_Km50,4.68939,0.0811556,0.237559,0.156403
baseline_Km60,5.57086,0.0821151,0.257295,0.17518
baseline_Km70,6.42577,0.0832222,0.28101,0.197788
baseline_Km80,7.25671,0.0844314,0.307871,0.22344
baseline_Km90,8.06761,0.0857149,0.337283,0.251568
baseline_Km110,9.64307,0.0884538,0.402427,0.313973
baseline_Km120,10.4121,0.0898967,0.437886,0.347989
baseline_Km130,11.1701,0.0913833,0.475282,0.383899
baseline_Km140,11.9178,0.0929116,0.514722,0.42181
baseline_Km150,12.6554,0.0944783,0.556616,0.462138
