,Na_i[mM],NHE_flux[uM/ms],Ca_i_diast[uM],Ca_i_max[uM],Ca_i_ampl[uM],T_max[kPa],mean_pH_i[-]
baseline_pH,11.5017,1.00392e-07,0.0852801,1.24417,1.15889,15.852,7.20682
baseline_pH_NHE_off,11.0342,0,0.0975955,1.26873,1.17113,17.7206,7.08044
baseline_pH_H2,11.6096,1.1181e-07,0.0884294,1.25416,1.16573,16.5478,7.18327
baseline_pH_H4,11.7499,1.25064e-07,0.0919658,1.26619,1.17422,17.3521,7.15852
baseline_pH_H6,11.9243,1.40103e-07,0.0959006,1.28028,1.18438,18.2692,7.13314
baseline_pH_H8,12.1331,1.56735e-07,0.100233,1.29633,1.1961,19.2981,7.10773
baseline_pH_H10,12.3754,1.74662e-07,0.104961,1.31425,1.20929,20.4347,7.08285
baseline_pH_INab200,12.401,9.85883e-08,0.0904381,1.27921,1.18877,17.8852,7.20521
baseline_pH_INab300,13.3919,9.66808e-08,0.0964358,1.32095,1.22451,20.8499,7.20347
baseline_pH_INab400,14.5167,9.45937e-08,0.103443,1.36956,1.26612,25.2535,7.20156
baseline_pH_INab500,15.8265,9.22556e-08,0.111691,1.42676,1.31507,31.6103,7.19943
baseline_pH_Km50,6.40116,1.10477e-07,0.0712917,1.13186,1.06057,11.7493,7.21957
baseline_pH_Km60,7.50588,1.08094e-07,0.073379,1.14841,1.07503,12.2146,7.21669
baseline_pH_Km70,8.56401,1.05924e-07,0.0758418,1.16763,1.09179,12.8147,7.21399
baseline_pH_Km80,9.57908,1.03934e-07,0.0786685,1.19075,1.11208,13.5877,7.21146
baseline_pH_Km90,10.5562,1.021e-07,0.0818296,1.2161,1.13427,14.5804,7.20907
baseline_pH_Km110,12.4215,9.87831e-08,0.0889701,1.27346,1.18449,17.4664,7.20467
baseline_pH_Km120,13.3214,9.72618e-08,0.0928438,1.30397,1.21113,19.4886,7.20263
baseline_pH_Km130,14.206,9.5812e-08,0.0968571,1.33423,1.23737,21.9673,7.20066
baseline_pH_Km140,15.0788,9.44139e-08,0.100974,1.36404,1.26307,24.913,7.19877
baseline_pH_Km150,15.9416,9.30715e-08,0.105187,1.39314,1.28795,28.2707,7.19695
HF_pH,16.8323,1.32058e-07,0.125287,1.47507,1.34978,34.0339,7.11834
HF_pH_NHE_off,16.6287,0,0.166034,1.56319,1.39716,33.1171,6.93492
low_pH_bicarb_pH,11.331,9.71999e-08,0.0921622,1.25947,1.16731,17.0906,7.15318
low_pH_bicarb_pH_NHE_off,11.3511,0,0.123722,1.35364,1.22992,22.3827,6.94238
