,Na_i[mM],NHE_flux[uM/ms],Ca_i_diast[uM],Ca_i_max[uM],Ca_i_ampl[uM],T_max[kPa],mean_pH_i[-]
pCa_50,11.7085,9.9952e-08,0.0882271,1.26941,1.18118,17.5044,7.20648
pCa_150,11.3274,1.00756e-07,0.0824717,1.21939,1.13692,14.5467,7.20711
Cab_50,10.951,1.01517e-07,0.0723881,1.15368,1.08129,12.3386,7.20783
Cab_150,12.2441,9.88874e-08,0.0974425,1.3254,1.22796,21.624,7.20552
Jrel_50,11.6502,1.00082e-07,0.0881039,1.26088,1.17278,17.4656,7.20657
Jrel_150,11.4418,1.00513e-07,0.0858937,1.23269,1.1468,14.9342,7.20692
NCX_50,11.0023,1.01466e-07,0.094936,1.33841,1.24347,26.2616,7.20762
NCX_150,11.9048,9.95183e-08,0.0803619,1.1894,1.10904,13.3314,7.20621
Juptake_50,13.8599,9.56692e-08,0.129751,1.34934,1.21959,25.5514,7.20297
Juptake_150,10.8859,1.01672e-07,0.0765798,1.27964,1.20306,14.8059,7.20791
CaL_50,11.4175,1.00527e-07,0.0839436,1.18275,1.09881,14.313,7.20704
CaL_150,11.5542,1.00283e-07,0.0863905,1.25797,1.17158,16.7352,7.20672
Jleak_50,11.4524,1.00492e-07,0.0779566,1.23864,1.16068,15.8923,7.2069
Jleak_150,11.5502,1.00289e-07,0.0919682,1.24862,1.15665,15.826,7.20673
Cl_50,11.6174,9.90759e-08,0.0836023,1.24009,1.15649,15.6161,7.2089
Cl_150,11.4241,1.01384e-07,0.0865513,1.24753,1.16098,15.9791,7.2052
Kss_50,11.4992,1.00299e-07,0.0854966,1.2419,1.1564,16.5268,7.20702
Kss_150,11.5014,1.00464e-07,0.0851004,1.24564,1.16054,15.3389,7.20667
K1_50,11.1137,1.00024e-07,0.0886519,1.25651,1.16786,17.9429,7.20997
K1_150,11.6558,1.00449e-07,0.0843575,1.24053,1.15617,15.1629,7.20575
Kt_50,11.4617,9.99167e-08,0.0872001,1.19657,1.10937,17.9016,7.20807
Kt_150,11.4571,1.00754e-07,0.0841605,1.26311,1.17895,13.7942,7.20632
Kf_50,11.497,1.00401e-07,0.0852566,1.24398,1.15872,15.8442,7.20683
Kf_150,11.5063,1.00378e-07,0.085304,1.24433,1.15903,15.859,7.20681
Ko_50,11.4944,1.00361e-07,0.0854046,1.24248,1.15708,16.033,7.20692
Ko_150,11.5084,1.00415e-07,0.0851624,1.2454,1.16024,15.6817,7.20672
NaK_50,21.2679,8.475e-08,0.135232,1.72974,1.59451,47.9489,7.18844
NaK_150,9.50308,1.04073e-07,0.0784393,1.18891,1.11047,13.5212,7.21167
Na_50,11.3306,1.00699e-07,0.0842724,1.26306,1.17879,16.1671,7.20721
Na_150,11.5968,1.00217e-07,0.085777,1.23831,1.15253,15.7939,7.2066
Nab_50,11.0752,1.01266e-07,0.0829723,1.22853,1.14556,15.0697,7.20759
Nab_150,11.9423,9.9501e-08,0.0877637,1.26091,1.17315,16.7776,7.20602
Kb_50,11.4963,1.00379e-07,0.0853387,1.24403,1.15869,15.9292,7.20687
Kb_150,11.5068,1.00401e-07,0.0852238,1.24422,1.159,15.7769,7.20677
Naf_50,11.4971,1.004e-07,0.0852547,1.244,1.15875,15.8427,7.20683
Naf_150,11.5062,1.00379e-07,0.0853063,1.24433,1.15902,15.8611,7.20681
CHE_50,11.4204,9.57064e-08,0.0844145,1.24064,1.15623,15.6571,7.21744
CHE_150,11.5859,1.05161e-07,0.0861561,1.24753,1.16137,16.0484,7.19645
AE_50,11.3542,9.17124e-08,0.0836588,1.23794,1.15428,15.4889,7.22685
AE_150,11.6138,1.06702e-07,0.0864409,1.24857,1.16213,16.1122,7.19319
NCB_50,11.454,1.04132e-07,0.0858442,1.24436,1.15852,15.9098,7.19934
NCB_150,11.5477,9.71506e-08,0.0847939,1.24391,1.15912,15.8077,7.21349
H_50,11.4477,9.38388e-08,0.0834072,1.23823,1.15482,15.4724,7.22143
H_150,11.5658,1.07433e-07,0.08724,1.25035,1.16311,16.2556,7.19204
NHE_50,11.3934,8.39987e-08,0.0867043,1.24484,1.15814,16.0109,7.18838
NHE_150,11.5544,1.07726e-07,0.0847231,1.24386,1.15914,15.8016,7.21453
