,Na_i[mM],Ca_i_diast[uM],Ca_i_max[uM],T_max[kPa],mean_pH_i[-]
pCa,-0.3811,-0.005755400000000008,-0.05001999999999995,-2.957700000000001,0.0006300000000001305
Cab,1.293099999999999,0.025054400000000004,0.17171999999999987,9.2854,-0.0023100000000004783
Jrel,-0.20839999999999925,-0.0022101999999999955,-0.028189999999999937,-2.531399999999998,0.0003500000000000725
NCX,0.9024999999999999,-0.014574100000000006,-0.1490100000000001,-12.930200000000001,-0.0014100000000007995
Juptake,-2.974,-0.0531712,-0.06969999999999987,-10.745500000000002,0.0049400000000003885
CaL,0.13669999999999938,0.002446900000000002,0.07522000000000006,2.4221999999999984,-0.00032000000000032003
Jleak,0.09779999999999944,0.014011599999999999,0.0099800000000001,-0.06630000000000003,-0.00016999999999978144
Cl,-0.1933000000000007,0.0029489999999999933,0.007440000000000113,0.3630000000000013,-0.0037000000000002586
Kss,0.002200000000000202,-0.00039619999999999933,0.0037400000000000766,-1.1879000000000008,-0.0003500000000000725
K1,0.5420999999999996,-0.004294400000000004,-0.015980000000000105,-2.780000000000001,-0.0042200000000001125
Kt,-0.0045999999999999375,-0.0030396000000000034,0.06654000000000004,-4.107399999999998,-0.0017500000000003624
Kf,0.009299999999999642,4.7400000000002995e-05,0.00034999999999985043,0.014799999999999258,-2.0000000000131024e-05
Ko,0.013999999999999346,-0.00024219999999999797,0.0029200000000000337,-0.35130000000000194,-0.00020000000000042206
NaK,-11.76482,-0.05679269999999999,-0.5408300000000001,-34.4277,0.023229999999999862
Na,0.26619999999999955,0.0015046000000000087,-0.02475000000000005,-0.37320000000000064,-0.0006099999999999994
Nab,0.8670999999999989,0.004791400000000001,0.032380000000000075,1.7079000000000004,-0.0015700000000000713
Kb,0.010500000000000398,-0.00011490000000000111,0.0001900000000001345,-0.15230000000000032,-0.00010000000000065512
Naf,0.009100000000000108,5.159999999999887e-05,0.00032999999999994145,0.01839999999999975,-2.0000000000131024e-05
CHE,0.16549999999999976,0.001741599999999996,0.006890000000000063,0.3913000000000011,-0.020990000000000286
AE,0.25959999999999894,0.0027820999999999957,0.010629999999999917,0.6233000000000022,-0.03365999999999936
NCB,0.09370000000000012,-0.0010502999999999901,-0.0004499999999998394,-0.10210000000000008,0.014149999999999885
H,0.1181000000000001,0.0038327999999999973,0.01212000000000013,0.7832000000000008,-0.02938999999999936
NHE,0.1609999999999996,-0.0019812000000000024,-0.0009799999999999809,-0.20929999999999893,0.02614999999999945
