,Na_i[mM],Ca_i_diast[uM],Ca_i_max[uM],T_max[kPa],mean_pH_i[-]
pCa,-0.03239318578609787,-0.10134048918258877,-0.09248747295823076,-0.08591047325264252,0.018716577540111187
Cab,0.10991243384939157,0.44115528932415626,0.31751197233881223,0.26970724155258696,-0.06862745098040768
Jrel,-0.01771382817586663,-0.038916973484268154,-0.05212358781872294,-0.07352800216105049,0.010398098633395103
NCX,0.07671175589596779,-0.2566192486006126,-0.27552095852670905,-0.37557548137110525,-0.04188948306597821
Juptake,-0.2527875479607848,-0.936233001776637,-0.12887598690900995,-0.3121178585848024,0.14676173499704345
CaL,0.011619387291943215,0.04308476265435527,0.13908252130983867,0.07035613764497768,-0.00950683303625449
Jleak,0.008312919364682115,0.24671480665648934,0.018453118355121013,-0.0019257748847584944,-0.005050505050498654
Cl,-0.01643034062569599,0.051925687632389264,0.013756633322855816,0.010543835341890434,-0.10992275698159029
Kss,0.00018699818611761182,-0.006976248708020563,0.006915296858532396,-0.03450419284471518,-0.010398098633395103
K1,0.046078053042885446,-0.07561535197305295,-0.02954717748645619,-0.08074893181943613,-0.12537136066548404
Kt,-0.0003909962073367835,-0.05352096308152287,0.12303311576650708,-0.11930509444429915,-0.051990493166975515
Kf,0.0007904923322243469,0.0008346143078248262,0.0006471534493276081,0.0004298863996142425,-0.000594177064769204
Ko,0.0011899884571119105,-0.004264632602429503,0.005399108777249843,-0.010203992715168366,-0.005941770647665653
NaK,-1.0,-1.0,-1.0,-1.0,0.6901366607249051
Na,0.022626780520228915,0.026492841509560366,-0.04576299391675766,-0.010840108401084028,-0.01812240047534198
Nab,0.0737027850829846,0.08436647667746035,0.059870939112105594,0.04960830958791904,-0.046642899584079064
Kb,0.0008924913428340083,-0.002023147341119565,0.000351311872492529,-0.004423763423057605,-0.00297088532384602
Naf,0.000773492497122787,0.0009085674743408727,0.000610173252223326,0.0005344533616825913,-0.000594177064769204
CHE,0.014067363546573577,0.030665913048684008,0.012739677902483332,0.011365847849260946,-0.6235888294712029
AE,0.02206578596187608,0.04898692965821305,0.01965497476101532,0.01810460762699809,-1.0
NCB,0.007964422745099382,-0.018493573998066483,-0.0008320544348498406,-0.002965635229771378,0.4203802733214544
H,0.010038402627494522,0.06748754681499555,0.022409999445297278,0.02274912352553324,-0.8731431966726061
NHE,0.013684867256787574,-0.03488476511946083,-0.001812029658118042,-0.006079406989139528,0.7768865121806283
