,Na_i[mM],NHE_flux[uM/ms],Ca_i_diast[uM],Ca_i_max[uM],Ca_i_ampl[uM],T_max[kPa],mean_pH_i[-]
pCa_50_NHE_off,11.2475,0,0.101294,1.2951,1.19381,19.4308,7.08046
pCa_150_NHE_off,10.8541,0,0.0941418,1.24406,1.14992,16.3451,7.08045
Cab_50_NHE_off,10.5478,0,0.0841451,1.19272,1.10857,14.4464,7.08058
Cab_150_NHE_off,11.6639,0,0.110833,1.34288,1.23205,22.5525,7.08037
Jrel_50_NHE_off,11.206,0,0.0987211,1.29073,1.19201,19.887,7.08045
Jrel_150_NHE_off,10.9752,0,0.099681,1.255,1.15532,16.6241,7.08047
NCX_50_NHE_off,10.4345,0,0.112825,1.374,1.26118,28.3637,7.08031
NCX_150_NHE_off,11.5327,0,0.0905611,1.21249,1.12193,14.9997,7.08064
Juptake_50_NHE_off,14.1816,0,0.186371,1.50923,1.32286,34.2906,7.08135
Juptake_150_NHE_off,10.3345,0,0.0849659,1.2701,1.18513,15.7145,7.08041
CaL_50_NHE_off,10.9083,0,0.0954592,1.19785,1.10239,15.6561,7.08061
CaL_150_NHE_off,11.1365,0,0.0994116,1.29452,1.19511,19.2172,7.08043
Jleak_50_NHE_off,10.984,0,0.090243,1.26067,1.17043,17.5745,7.08044
Jleak_150_NHE_off,11.0834,0,0.104464,1.27648,1.17202,17.8676,7.08045
Cl_50_NHE_off,11.1253,0,0.0957794,1.2631,1.16732,17.4547,7.08226
Cl_150_NHE_off,10.977,0,0.0988379,1.27265,1.17381,17.8312,7.07901
Kss_50_NHE_off,11.0422,0,0.0979847,1.27018,1.1722,18.6231,7.08088
Kss_150_NHE_off,11.0253,0,0.0972865,1.26726,1.16997,17.0482,7.08013
K1_50_NHE_off,10.6985,0,0.101716,1.28629,1.18457,20.1142,7.08488
K1_150_NHE_off,11.1634,0,0.096462,1.26343,1.16697,16.939,7.07903
Kt_50_NHE_off,11.0252,0,0.100143,1.23365,1.13351,20.3174,7.08285
Kt_150_NHE_off,10.9618,0,0.0959691,1.26757,1.1716,15.2496,7.07929
Kf_50_NHE_off,11.0305,0,0.0975771,1.26861,1.17103,17.7158,7.08045
Kf_150_NHE_off,11.0379,0,0.0976139,1.26883,1.17122,17.7245,7.08044
Ko_50_NHE_off,11.0309,0,0.0977868,1.26842,1.17063,17.9762,7.08063
Ko_150_NHE_off,11.037,0,0.0974184,1.26905,1.17163,17.4841,7.08027
NaK_50_NHE_off,18.9432,0,0.140539,1.55219,1.41165,38.2252,7.07335
NaK_150_NHE_off,9.20379,0,0.0918462,1.22973,1.13788,15.9354,7.08262
Na_50_NHE_off,10.8815,0,0.0967996,1.29058,1.19378,18.2072,7.08061
Na_150_NHE_off,11.1268,0,0.0980274,1.26173,1.1637,17.5979,7.08036
Nab_50_NHE_off,10.633,0,0.0954086,1.25626,1.16085,17.0669,7.0805
Nab_150_NHE_off,11.444,0,0.0999515,1.28255,1.1826,18.4654,7.08039
Kb_50_NHE_off,11.0306,0,0.09768,1.26914,1.17146,17.8225,7.08053
Kb_150_NHE_off,11.0376,0,0.0975152,1.26858,1.17106,17.623,7.08036
Naf_50_NHE_off,11.0306,0,0.0975745,1.26861,1.17104,17.7138,7.08045
Naf_150_NHE_off,11.0378,0,0.0976165,1.26885,1.17123,17.7273,7.08044
CHE_50_NHE_off,10.9426,0,0.095368,1.26117,1.1658,17.2869,7.09903
CHE_150_NHE_off,11.1281,0,0.0998194,1.27655,1.17673,18.1474,7.06317
AE_50_NHE_off,10.9696,0,0.0960943,1.26369,1.1676,17.4276,7.09277
AE_150_NHE_off,11.0872,0,0.0987953,1.27312,1.17432,17.9526,7.07101
NCB_50_NHE_off,10.9494,0,0.102066,1.28144,1.17937,18.4894,7.04655
NCB_150_NHE_off,11.1003,0,0.0946424,1.26099,1.16635,17.2219,7.10565
H_50_NHE_off,10.9486,0,0.0936474,1.25551,1.16186,16.9577,7.10748
H_150_NHE_off,11.1352,0,0.101836,1.28336,1.18152,18.5362,7.0541
